,company_name,job_count,company_description,link
0,Clevertech,Jobs Posted: 514," Enterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions and data points. The problems we solve everyday are real and require creativity, grit and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. We are hiring team members who are passionate and energized by the vision of empowering our customers in a complex industry through technology, data and a deep understanding of client concerns. In order to grasp the scale of problems we face, ideally you have some exposure to Logistics, FinTech, Transportation, Insurance, Media or other complex multifactor industries. ",https://weworkremotely.com/company/clevertech
1,Hotjar,Jobs Posted: 232," Hotjar wants to make the web a better place. We believe many digital experiences—whether on desktop or mobile—quite frankly suck, and we're working to change that. We help by building product experience insights software for product teams. We’re focused on helping our customers really understand what their end-users are doing on their websites—to help them find those parts of their sites that are hard to navigate, just plain broken, confusing, or simply not enjoyable. In short, we show what end-users feel strongly about, so that product teams can deliver real value, fast.Hotjar has a team of over 200 Hotjarians spread across 33 countries—we're a fully distributed company and always have been. What better way to make sure that digital experiences improve than to be online ourselves, all day, every day? ",https://weworkremotely.com/company/hotjar
2,TaxJar,Jobs Posted: 216," We know sales tax isn't fun for anyone, so we're determined to ease the burden with an exceptional customer experience. To do that, we have to start internally. At TaxJar, we aim to provide the same incredible quality of life for our team members as we do for our customers by creating a professional, unique, and extraordinary place to work.We’re fast-growing, fully-distributed, talented, driven, and love what we do. We live all across the US, working from our homes, co-working spaces, coffee shops — even a boat! We have many different backgrounds and lifestyles, and everything we do is guided by our core values. We recruit from a varied pool of candidates, as we believe that a diverse team can create better solutions for our customers. ",https://weworkremotely.com/company/taxjar
3,Toptal LLC,Jobs Posted: 173," Toptal is a network of the world’s top 3% of software engineering, design, and finance talent – available on demand to help companies accelerate, adapt, and scale. With $100+ million in annual revenue and triple-digit growth, Toptal is the largest fully distributed workforce in the world.We take the best elements of virtual teams and combine them with a support structure that encourages innovation, social interaction, and fun [see this video from The Huffington Post]. We see no borders, move at a fast pace, and are never afraid to break the mold.If you’re not in the job market, you’re exactly the type of person we’re looking for. ",https://weworkremotely.com/company/toptal-llc
4,Aha!,Jobs Posted: 159," Aha! is the world's #1 roadmap software. We help more than 5,000 companies build lovable products and be happy doing it. Our company is self-funded, profitable, and has been entirely remote since we started in 2013. ",https://weworkremotely.com/company/aha
5,ReCharge Payments,Jobs Posted: 156," Since 2014, ReCharge has helped over 15,000 merchants launch and scale their subscription business. Be it a curated monthly box, recurring necessities or access to exclusive perks, ReCharge powers billions of dollars in annual processing for nearly 30 million consumers. Our remote-first team of 250+ is building the future of subscription commerce. Come join us on our mission to connect and empower the world through payments. ",https://weworkremotely.com/company/recharge-payments
6,X-Team,Jobs Posted: 142," X-Team is a 100% remote international company, originally founded in Melbourne, Australia. We help companies scale their development teams by providing them with extraordinary teams of developers from around the world.  We believe in living a life of freedom that allows you to spend more time getting energized by your passions. We've fostered a unique, active lifestyle and culture around this idea that continues to attract thousands of developers to apply every day. Our community is the most energizing community for developers in the world.  What separates us from our competition is the level of attention and care we give our developers compared to other more ""talent""-based solutions. We proactively support them, fund their learning and growth, connect them in roaming hacker houses around the world, and give them a remote environment that motivates and inspires them on a daily basis. While other companies simply place and drop their talent, we foster and cater to our unified teams of developers centered around the same beliefs, values and lifestyle.  We're uniquely situated to help shape how companies grow their businesses in the digital age and aid them in being able to do so properly with the right people. We work with big, innovative brands like Riot Games, Fox Broadcasting, Kaplan Inc., Coinbase, Google, Twitter, Beachbody and more…  Who is X-Team meant for?Any freelance developers with experience working on high-scale, remote teams and projects with a motivated, proactive attitude and compassionate, team-player heart. If you've worked with freelancing platforms before, that's not what we are. X-Team is a community of all likeminded people, carefully chosen to ensure we are able to create an environment of the most motivated people in the world who come together to unleash their potential. What we've created is truly special and not a faceless platform. X-Team is where developers go to feel truly at home together, while becoming more motivated and energized than they've ever been. ",https://weworkremotely.com/company/x-team
7,Shogun,Jobs Posted: 134," Shogun is on a mission to empower brands to create exceptional ecommerce experiences, and in the process, build the world's best remote company.Since being in the Winter 2018 batch of Y-Combinator, we've seen tremendous growth while intentionally creating a culture where people from all backgrounds belong. Our company and products are informed by diverse perspectives from the best talent around the world. We are fully remote, have no offices, and are looking for team members who are excited to work remotely.We closed our Series A and B in 2020, and after raising a $67.5M Series C in 2021, we are scaling faster than ever. Some of our investors include Insight Partners, Initialized Capital, Accel, VMG Partners, and Y Combinator. Join us to grow your career with our rapidly growing company! ",https://weworkremotely.com/company/shogun
8,Modern Tribe,Jobs Posted: 124," Modern Tribe is a digital agency that designs and engineers each touchpoint across your ecosystem, from websites and applications to plugins and publishing platforms.We use systems thinking to land on the tools or processes that produce the right deliverables. We run design sprints to help us get beyond the obvious or ideate when the path forward isn’t clear. And we lean on modular systems and technologies, like microservices, headless CMSs, and open-source software, to create flexible solutions that help people and platforms do even more. Built to operate beyond the walls of a traditional studio, we’re a fully remote agency that attracts talent from all over the globe. Our collaborative approach positions us as an extension of your team and provides visibility into every aspect of your project. You’ll have a true partner to navigate your most ambitious undertakings and help you create a sustainable digital ecosystem for the future. ",https://weworkremotely.com/company/modern-tribe
9,Close,Jobs Posted: 111," We are a small team doing great things - every role is critical to the success of this company. People that are most successful at Close have a resourceful, “doer” approach and mentality. We focus on productivity, impact and quality of work. We’re looking for team members that genuinely understand the nature of being part of a small team that operates in a bootstrapped / start-up-like environment. At Close, everyone has a voice. We encourage transparency and practicing a mature approach to the work-place. In general, we don’t have strict policies, we have guidelines. Life-work harmony is an important part of our organization - we believe you bring your best to work when you practice self-care (whatever that looks like for you).  We come from 12 countries and 16 states; a collection of talented humans rich in diverse backgrounds, lifestyles, and cultures. Twice a year we meet up somewhere around the world to spend time with one another (however we’re opting for quarterly virtual summits during 2020/2021). We see these retreats as an opportunity to strengthen the social fiber of our community. This team is growing in more ways than one - we’ve recently launched 14 babies (and counting!). Unanimously, our favorite and most impactful value is “Build a house you want to live in.” We strive to make decisions that are authentic for our organization. At Close, we have a high care factor for one another, in making an awesome product and championing the success of our customers. ",https://weworkremotely.com/company/close
10,Automattic,Jobs Posted: 106," About AutomatticWe are the people behind WordPress.com, WooCommerce, Tumblr, Simplenote, Jetpack, Longreads, Day One, PocketCasts, and more. We believe in making the web a better place.We’re a distributed company with more than 1800 Automatticians in [automattic-country-count] countries speaking 90+ different languages. We democratize publishing and commerce so anyone with a story can tell it, and anyone with a product can sell it, regardless of income, gender, politics, language, or country.We believe in Open Source and the vast majority of our work is available under the GPL.Diversity, Equity, and Inclusion at AutomatticWe’re improving diversity, equity, and inclusion in the tech industry. At Automattic, we want people to love their work and show respect and empathy to all. We welcome differences and strive to increase participation from traditionally underrepresented groups. Our DEI committee involves Automatticians across the company and drives grassroots change. For example, this group has helped facilitate private online spaces for affiliated Automatticians to gather and helps run a monthly DEI People Lab series for further learning. Diversity, Equity and Inclusion is a priority at Automattic, though our dedication influences far more than just Automatticians: We make our products freely available and translate our products into and offer customer support in numerous languages. We require unconscious bias training for our hiring teams and ensure our products are accessible across different bandwidths and devices. Learn more about our dedication to diversity, equity, and inclusion and our Employee Resource Groups. ",https://weworkremotely.com/company/automattic
11,Oddball,Jobs Posted: 105, Oddball believes that the best products are built when teams understand and value the things they are working on. We value learning and growth and the ability to make a big impact at a small company. We believe that we can make big changes happen and improve the daily lives of millions of people by bringing quality software to the federal space. ,https://weworkremotely.com/company/oddball
12,Toggl,Jobs Posted: 104," Toggl Track is an easy to use and flexible time tracking tool that helps 3+ million users see where their work time goes, so they can focus on the projects that really matter. It also works on all your devices, and integrates with over a 100 tools.Lovely to look at and easy-to-use, Toggl Plan gives teams a visual overview of who’s doing what, and what’s coming up next. That means less stress and better results.Toggl Hire's smart skills tests help you screen and hire the best candidates faster. Stop wasting hundreds of hours scanning resumes, and start screening for skills that really matter. ",https://weworkremotely.com/company/toggl
13,Doximity,Jobs Posted: 100," Doximity was founded in 2010 by the pioneers of mobile health apps to connect healthcare professionals and make them more productive. Product development is in our DNA, and software engineering is the lifeblood of our company.Joining Doximity means being part of an incredibly talented and humble team. We work on amazing products that over 80% of US physicians use to make their busy lives a little easier. Here at Doximity we absolutely love creating technology that has a real, meaningful impact on people’s lives. We think you will too. ",https://weworkremotely.com/company/doximity
14,Fleetio,Jobs Posted: 97," Proudly headquartered in Birmingham, AL, Fleetio launched in January 2012, and today thousands of people use our modern software platform to manage their vehicles, equipment, parts, drivers and more. Head to Fleetio.com/careers to learn more about our product and incredible company culture.  ",https://weworkremotely.com/company/fleetio
15,PhishMe,Jobs Posted: 95,,https://weworkremotely.com/company/phishme
